Ref,Val,Package,PosX,PosY,Rot,Side
"R37","10k","R_0402_1005Metric",49.150000,-152.600000,180.000000,bottom
"R38","10k","R_0402_1005Metric",82.450000,-172.200000,180.000000,bottom
"R39","10k","R_0402_1005Metric",193.450000,-247.799999,180.000000,bottom
"R40","10k","R_0402_1005Metric",126.850000,-172.200000,180.000000,bottom
"R41","10k","R_0402_1005Metric",49.150000,-65.800000,180.000000,bottom
"R42","10k","R_0402_1005Metric",208.250000,-161.000000,180.000000,bottom
"R43","10k","R_0402_1005Metric",119.450000,-228.200000,180.000000,bottom
"R44","10k","R_0402_1005Metric",75.050000,-144.200000,180.000000,bottom
"R45","10k","R_0402_1005Metric",123.150000,-158.200000,180.000000,bottom
"R46","10k","R_0402_1005Metric",174.950000,-236.600000,180.000000,bottom
"R47","10k","R_0402_1005Metric",45.450000,-63.000000,180.000000,bottom
"R48","10k","R_0402_1005Metric",89.850000,-29.400000,180.000000,bottom
"R49","10k","R_0402_1005Metric",237.850000,-155.399999,180.000000,bottom
"R50","10k","R_0402_1005Metric",100.950000,-169.399999,180.000000,bottom
"R51","10k","R_0402_1005Metric",260.050000,-121.800000,180.000000,bottom
"R52","10k","R_0402_1005Metric",219.350000,-191.799999,180.000000,bottom
"R53","10k","R_0402_1005Metric",163.850000,-124.600000,180.000000,bottom
"R54","10k","R_0402_1005Metric",108.350000,-186.200000,180.000000,bottom
"R55","10k","R_0402_1005Metric",104.650000,-172.200000,180.000000,bottom
"R56","10k","R_0402_1005Metric",204.550000,-110.600000,180.000000,bottom
"R57","10k","R_0402_1005Metric",100.950000,-208.600000,180.000000,bottom
"R58","10k","R_0402_1005Metric",267.450000,-121.800000,180.000000,bottom
"R59","10k","R_0402_1005Metric",171.250000,-200.200000,180.000000,bottom
"R60","10k","R_0402_1005Metric",104.650000,-270.200000,180.000000,bottom
"R61","10k","R_0402_1005Metric",100.950000,-119.000000,180.000000,bottom
"R62","10k","R_0402_1005Metric",171.250000,-63.000000,180.000000,bottom
"R63","10k","R_0402_1005Metric",119.450000,-253.399999,180.000000,bottom
"R64","10k","R_0402_1005Metric",56.550000,-186.200000,180.000000,bottom
"R65","10k","R_0402_1005Metric",171.250000,-225.399999,180.000000,bottom
"R66","10k","R_0402_1005Metric",245.250000,-99.399999,180.000000,bottom
"R67","10k","R_0402_1005Metric",149.050000,-26.600000,180.000000,bottom
"R68","10k","R_0402_1005Metric",149.050000,-273.000000,180.000000,bottom
"R69","10k","R_0402_1005Metric",49.150000,-172.200000,180.000000,bottom
"R70","10k","R_0402_1005Metric",134.250000,-65.800000,180.000000,bottom
"R71","10k","R_0402_1005Metric",126.850000,-130.199999,180.000000,bottom
"R72","10k","R_0402_1005Metric",56.550000,-166.600000,180.000000,bottom
"R73","10k","R_0402_1005Metric",174.950000,-99.399999,180.000000,bottom
"R74","10k","R_0402_1005Metric",63.950000,-107.800000,180.000000,bottom
"R75","10k","R_0402_1005Metric",167.550000,-225.399999,180.000000,bottom
"R76","10k","R_0402_1005Metric",104.650000,-239.399999,180.000000,bottom
"R77","10k","R_0402_1005Metric",100.950000,-186.200000,180.000000,bottom
"R78","10k","R_0402_1005Metric",156.450000,-71.400000,180.000000,bottom
"R79","10k","R_0402_1005Metric",152.750000,-189.000000,180.000000,bottom
"R80","10k","R_0402_1005Metric",134.250000,-250.600000,180.000000,bottom
"R81","10k","R_0402_1005Metric",86.150000,-133.000000,180.000000,bottom
"R82","10k","R_0402_1005Metric",126.850000,-169.399999,180.000000,bottom
"R83","10k","R_0402_1005Metric",97.250000,-200.200000,180.000000,bottom
"R84","10k","R_0402_1005Metric",163.850000,-79.800000,180.000000,bottom
"R85","10k","R_0402_1005Metric",123.150000,-63.000000,180.000000,bottom
"R86","10k","R_0402_1005Metric",211.950000,-133.000000,180.000000,bottom
"R87","10k","R_0402_1005Metric",52.850000,-166.600000,180.000000,bottom
"R88","10k","R_0402_1005Metric",186.050000,-222.600000,180.000000,bottom
"R89","10k","R_0402_1005Metric",141.650000,-65.800000,180.000000,bottom
"R90","10k","R_0402_1005Metric",89.850000,-287.000000,180.000000,bottom
"R91","10k","R_0402_1005Metric",63.950000,-96.600000,180.000000,bottom
